Content,HasAnswer,Answer
Qual é o fenômeno da Natureza que o Thor tem medo?,1,Thornado
Qual a cidade do Thor?,1,Thórquio
"Tenho 40 laranjas, tiro 20. Quantas laranjas eu tenho?",1,Eu sabia isso com maçãs
Qual a cantora que mais gosta de rir?,1,Ri-hanna
Qual a parte do corpo do Thor que ele mais gosta?,1,THORax
Qual a cantora gosta muito de tomar chá?,1,Chá-quira
"Tenho cinco laranjas, João roubou três. Quantas laranjas eu tenho?",1,Cinco
Qual é a semelhança de uma dentadura e um chifre?,1,Ambos machucam mas acostumam
Qual é o fruto preferido do Thor?,1,Thormate
Qual é a atriz preferida do tamanduá?,1,Vera Farmiga
Qual o time o Thor torce?,1,Thorttenham
Quando foi a primeira vez que os povos da América comeram carne?,1,Quando chegou Cristóvão Com-lombo
Qual é o carro está sempre chateado?,1,Bravo
Por que na floresta tem sal?,1,Porque ela é temperada
O que o Mickey foi fazer no espaço?,1,"Procurar o pai do seu cachorro, o Plutão"
Por que a loira tomou o remédio antes da hora certa?,1,Pra pegar a doença de surpresa!
Qual é a parte do banheiro que o Thor mais gosta?,1,Da Thorneira
Qual é a cidade preferida do tamanduá?,1,Formiga
Qual é o país preferido no Natal?,1,Peru
Qual é a tinta que quer ser uma cobra?,1,Coral
O que o pastel falou para o outro pastel?,1,Estamos fritos
"Hoje não tenho valor, mas já vali muito. O que sou?",1,História
"O que nasce uma vez, nasce duas vezes, mas na terceira não nasce mais?",1,Dente
Em qual estado brasileiro as pessoas mais gostam de tomar suco?,1,Rio Grande do Suco
O que o aluno fala para a professora e gosta de receber dos pais?,1,Presente
O que acontece se um ciclista entrar em campo?,1,Ele faz um gol de bicicleta
Qual é o estado preferido do Thor?,1,THORcantins
"Nunca para frente, sempre para trás, para crianças sou muito devagar, para adultos fui rápido demais. O que sou?",1,Infância
"Nos vire ao avesso, e abra nossas vísceras, você será o mais sábio dos homens, mas, sem nós, será um idiota. O que sou?",1,Livro
"De mim, surge vida, para mim, a vida retorna. Homens brigam pela minha posse, mas nenhum deles é meu dono. Água me cerca, mas ao redor dela eu vivo. Quem sou eu, meu amigo?",1,Terra
"Assisti ao nascimento de reis e rainhas, meus pés vão mais fundo e minha cabeça mais alto do que tudo que o homem cria. Muitos buscam algo no interior do meu coração, mas, amor, não é algo que encontrarão, como vocês me chamarão?",1,Montanha
Por que os robôs nao sentem medo?,1,Porque eles têm nervos de aço
Qual é estado que gosta de cavar buracos?,1,Ama-pá
Um dinossauro disse a outro que tinha encontrado ele em um parque. O que ele responde?,1,Juras que park?
Uai.. porque a sua foto tá mexendo?,1,"Mexendo com o meu coração, sua linda!"
Tava comendo uma melancia e lembrei de você...,1,Semente demais :$
