Value,Sentiment
devi comer farinha maizena,-1
devi dobrar a lingua,-1
devi ter vergonha na cara,-1
devia comer farinha maizena,-1
devia dobrar a lingua,-1
devia ter vergonha na cara,-1
deviam comer farinha maizena,-1
deviam dobrar a lingua,-1
deviam ter vergonha na cara,-1
deviamos comer farinha maizena,-1
deviamos dobrar a lingua,-1
deviamos ter vergonha na cara,-1
devias comer farinha maizena,-1
devias dobrar a lingua,-1
devias ter vergonha na cara,-1
devido comer farinha maizena,-1
devido dobrar a lingua,-1
devido ter vergonha na cara,-1
devieis comer farinha maizena,-1
devieis dobrar a lingua,-1
devieis ter vergonha na cara,-1
devo comer farinha maizena,-1
devo dobrar a lingua,-1
devo ter vergonha na cara,-1
devota de baco,-1
devotas de baco,-1
devoto,1
devoto de baco,-1
devotos de baco,-1
diabolica,-1
diabolicas,-1
diabolico,-1
diabolicos,-1
diabolismo,-1
diafana,1
diafanas,1
diafano,1
diafanos,1
dialogante,1
dialogantes,1
difama,-1
difamacao,-1
difamada,-1
difamadas,-1
difamado,-1
difamador,-1
difamadora,-1
difamadoras,-1
difamadores,-1
difamados,-1
difamai,-1
difamais,-1
difamam,-1
difamamo,-1
difamamos,-1
difamando,-1
difamar,-1
difamara,-1
difamaram,-1
difamaramo,-1
difamaramos,-1
difamarao,-1
difamaras,-1
difamarde,-1
difamardes,-1
difamare,-1
difamarei,-1
difamareis,-1
difamarem,-1
difamaremos,-1
difamares,-1
difamaria,-1
difamariam,-1
difamariamos,-1
difamarias,-1
difamarieis,-1
difamarmo,-1
difamarmos,-1
difamas,-1
difamasse,-1
difamasseis,-1
difamassem,-1
difamassemos,-1
difamasses,-1
difamaste,-1
difamastes,-1
difamatoria,-1
difamatorias,-1
difamatorio,-1
difamatorios,-1
difamava,-1
difamavam,-1
difamavamo,-1
difamavamos,-1
difamavas,-1
difamavei,-1
difamaveis,-1
difame,-1
difamei,-1
difameis,-1
difamem,-1
difamemo,-1
difamemos,-1
difames,-1
difamo,-1
difamou,-1
diferente,0
diferentes,0
dificeis,-1
dificil,-1
dificuldades,-1
dificulta,1
dificulta a vida a,1
dificultado,1
dificultado a vida a,1
dificultai,1
dificultai a vida a,1
dificultais,1
dificultais a vida a,1
dificultam,1
dificultam a vida a,1
dificultamo,1
dificultamos,1
dificultamos a vida a,1
dificultando,1
dificultando a vida a,1
dificultar,1
dificultar a vida a,1
dificultara,1
dificultara a vida a,1
dificultaram,1
dificultaram a vida a,1
dificultaramo,1
dificultaramos,1
dificultaramos a vida a,1
dificultarao,1
dificultarao a vida a,1
dificultaras,1
dificultaras a vida a,1
dificultarde,1
dificultardes,1
dificultardes a vida a,1
dificultare,1
dificultarei,1
dificultarei a vida a,1
dificultareis,1
dificultareis a vida a,1
dificultarem,1
dificultarem a vida a,1
dificultaremos,1
dificultaremos a vida a,1
dificultares,1
dificultares a vida a,1
dificultaria,1
dificultaria a vida a,1
dificultariam,1
dificultariam a vida a,1
dificultariamos,1
dificultariamos a vida a,1
dificultarias,1
dificultarias a vida a,1
dificultarieis,1
dificultarieis a vida a,1
dificultarmo,1
dificultarmos,1
dificultarmos a vida a,1
dificultas,1
dificultas a vida a,1
dificultasse,1
dificultasse a vida a,1
dificultasseis,1
dificultasseis a vida a,1
dificultassem,1
dificultassem a vida a,1
dificultassemos,1
dificultassemos a vida a,1
dificultasses,1
dificultasses a vida a,1
dificultaste,1
dificultaste a vida a,1
dificultastes,1
dificultastes a vida a,1
dificultava,1
dificultava a vida a,1
dificultavam,1
dificultavam a vida a,1
dificultavamo,1
dificultavamos,1
dificultavamos a vida a,1
dificultavas,1
dificultavas a vida a,1
dificultavei,1
dificultaveis,1
dificultaveis a vida a,1
dificulte,1
dificulte a vida a,1
dificultei,1
dificultei a vida a,1
dificulteis,1
dificulteis a vida a,1
dificultem,1
dificultem a vida a,1
dificultemo,1
dificultemos,1
dificultemos a vida a,1
dificultes,1
dificultes a vida a,1
dificulto,1
dificulto a vida a,1
dificultou,1
dificultou a vida a,1
difunto,-1
difusa,-1
difusas,-1
difuso,-1
difusos,-1
diga a verdade,1
diga algumas verdades a,1
diga cobras e lagartos de,-1
diga mal de,0
diga umas quantas verdades a,1
digais a verdade,1
digais algumas verdades a,1
digais cobras e lagartos de,-1
digais mal de,0
digais umas quantas verdades a,1
digam a verdade,1
digam algumas verdades a,1
digam cobras e lagartos de,-1
digam mal de,0
digam umas quantas verdades a,1
digamos a verdade,1
digamos algumas verdades a,1
digamos cobras e lagartos de,-1
digamos mal de,0
digamos umas quantas verdades a,1
digas a verdade,1
digas algumas verdades a,1
digas cobras e lagartos de,-1
digas mal de,0
digas umas quantas verdades a,1
digna,1
digna de confianca,1
dignas,1
dignas de confianca,1
dignidade,1
dignifica,1
dignificado,1
dignificai,1
dignificais,1
dignificam,1
dignificamo,1
dignificamos,1
dignificando,1
dignificar,1
dignificara,1
dignificaram,1
dignificaramo,1
dignificaramos,1
dignificarao,1
dignificaras,1
dignificarde,1
dignificardes,1
dignificare,1
dignificarei,1
dignificareis,1
dignificarem,1
dignificaremos,1
dignificares,1
dignificaria,1
dignificariam,1
dignificariamos,1
dignificarias,1
dignificarieis,1
dignificarmo,1
dignificarmos,1
dignificas,1
dignificasse,1
dignificasseis,1
dignificassem,1
dignificassemos,1
dignificasses,1
dignificaste,1
dignificastes,1
dignificava,1
dignificavam,1
dignificavamo,1
dignificavamos,1
dignificavas,1
dignificavei,1
dignificaveis,1
dignifico,1
dignificou,1
dignifique,1
dignifiquei,1
dignifiqueis,1
dignifiquem,1
dignifiquemo,1
dignifiquemos,1
dignifiques,1
digno,1
digno de confianca,1
dignos,1
dignos de confianca,1
digo a verdade,1
digo algumas verdades a,1
digo cobras e lagartos de,-1
digo mal de,0
digo umas quantas verdades a,1
digressionista,-1
digressionistas,-1
digressiva,-1
digressivas,-1
digressivo,-1
digressivos,-1
dilacera,1
dilacerada,-1
dilaceradas,-1
dilacerado,-1
dilacerados,-1
dilacerai,1
dilacerais,1
dilaceram,1
dilaceramo,1
dilaceramos,1
dilacerando,1
dilacerar,1
dilacerara,1
dilaceraram,1
dilaceraramo,1
dilaceraramos,1
dilacerarao,1
dilaceraras,1
dilacerarde,1
dilacerardes,1
dilacerare,1
dilacerarei,1
dilacerareis,1
dilacerarem,1
dilaceraremos,1
dilacerares,1
dilaceraria,1
dilacerariam,1
dilacerariamos,1
dilacerarias,1
dilacerarieis,1
dilacerarmo,1
dilacerarmos,1
dilaceras,1
dilacerasse,1
dilacerasseis,1
dilacerassem,1
dilacerassemos,1
dilacerasses,1
dilaceraste,1
dilacerastes,1
dilacerava,1
dilaceravam,1
dilaceravamo,1
dilaceravamos,1
dilaceravas,1
dilaceravei,1
dilaceraveis,1
dilacere,1
dilacerei,1
dilacereis,1
dilacerem,1
dilaceremo,1
dilaceremos,1
dilaceres,1
dilacero,1
dilacerou,1
diletante,0
diletantes,0
dileto,1
diligencia,1
diligente,1
diligentes,1
diminua,1
diminuais,1
diminuam,1
diminuamo,1
diminuamos,1
diminuas,1
diminuem,1
diminui,1
diminuia,1
diminuiam,1
diminuiamo,1
diminuiamos,1
diminuias,1
diminuida,-1
diminuidas,-1
diminuido,-1
diminuidos,-1
diminuiei,1
diminuieis,1
diminuimo,1
diminuimos,1
diminuindo,1
diminuir,1
diminuira,1
diminuiram,1
diminuiramo,1
diminuiramos,1
diminuirao,1
diminuiras,1
diminuirde,1
diminuirdes,1
diminuire,1
diminuirei,1
diminuireis,1
diminuirem,1
diminuiremos,1
diminuires,1
diminuiria,1
diminuiriam,1
diminuiriamos,1
diminuirias,1
diminuirieis,1
diminuirmo,1
diminuirmos,1
diminuis,1
diminuisse,1
diminuisseis,1
diminuissem,1
diminuissemos,1
diminuisses,1
diminuiste,1
diminuistes,1
diminuiu,1
diminuo,1
dinamica,1
dinamicas,1
dinamico,1
dinamicos,1
dinamismo,1
dinamizador,1
dinamizadora,1
dinamizadoras,1
dinamizadores,1
diplomacia,1
diplomatica,1
diplomaticas,1
diplomatico,1
diplomaticos,1
dir a verdade,1
dir algumas verdades a,1
dir cobras e lagartos de,-1
dir mal de,0
dir umas quantas verdades a,1
dira a verdade,1
dira algumas verdades a,1
dira cobras e lagartos de,-1
dira mal de,0
dira umas quantas verdades a,1
dirao a verdade,1
dirao algumas verdades a,1
dirao cobras e lagartos de,-1
dirao mal de,0
dirao umas quantas verdades a,1
diras a verdade,1
diras algumas verdades a,1
diras cobras e lagartos de,-1
diras mal de,0
diras umas quantas verdades a,1
directa,1
directas,1
directo,1
directos,1
direi a verdade,1
direi algumas verdades a,1
direi cobras e lagartos de,-1
direi mal de,0
direi umas quantas verdades a,1
direis a verdade,1
direis algumas verdades a,1
direis cobras e lagartos de,-1
direis mal de,0
direis umas quantas verdades a,1
direita,1
direita de contas,1
direitas,1
direitas de contas,1
direito,1
direito de contas,1
direitos,1
direitos de contas,1
diremos a verdade,1
diremos algumas verdades a,1
diremos cobras e lagartos de,-1
diremos mal de,0
diremos umas quantas verdades a,1
direta,1
diretas,1
direto,1
diretos,1
diria a verdade,1
diria algumas verdades a,1
diria cobras e lagartos de,-1
diria mal de,0
diria umas quantas verdades a,1
diriam a verdade,1
diriam algumas verdades a,1
diriam cobras e lagartos de,-1
diriam mal de,0
diriam umas quantas verdades a,1
diriamos a verdade,1
diriamos algumas verdades a,1
diriamos cobras e lagartos de,-1
diriamos mal de,0
diriamos umas quantas verdades a,1
dirias a verdade,1
dirias algumas verdades a,1
dirias cobras e lagartos de,-1
dirias mal de,0
dirias umas quantas verdades a,1
dirieis a verdade,1
dirieis algumas verdades a,1
dirieis cobras e lagartos de,-1
dirieis mal de,0
dirieis umas quantas verdades a,1
disciplina,1
disciplinada,1
disciplinadas,1
disciplinado,1
disciplinador,0
disciplinadora,0
disciplinadoras,0
disciplinadores,0
disciplinados,1
discola,-1
discolas,-1
discolo,-1
discolos,-1
discreta,1
discretas,1
discreto,1
discretos,1
discricao,1
discrimina,-1
discriminacao,-1
discriminada,-1
discriminadas,-1
discriminado,-1
discriminador,-1
discriminadora,-1
discriminadoras,-1
discriminadores,-1
discriminados,-1
discriminai,-1
discriminais,-1
discriminam,-1
discriminamo,-1
discriminamos,-1
discriminando,-1
discriminar,-1
discriminara,-1
discriminaram,-1
discriminaramo,-1
discriminaramos,-1
discriminarao,-1
discriminaras,-1
discriminarde,-1
discriminardes,-1
discriminare,-1
discriminarei,-1
discriminareis,-1
discriminarem,-1
discriminaremos,-1
discriminares,-1
discriminaria,-1
discriminariam,-1
discriminariamos,-1
discriminarias,-1
discriminarieis,-1
discriminarmo,-1
discriminarmos,-1
discriminas,-1
discriminasse,-1
discriminasseis,-1
discriminassem,-1
discriminassemos,-1
discriminasses,-1
discriminaste,-1
discriminastes,-1
discriminava,-1
discriminavam,-1
discriminavamo,-1
discriminavamos,-1
discriminavas,-1
discriminavei,-1
discriminaveis,-1
discrimine,-1
discriminei,-1
discrimineis,-1
discriminem,-1
discriminemo,-1
discriminemos,-1
discrimines,-1
discrimino,-1
discriminou,-1
discursiva,0
discursivas,0
discursivo,0
discursivos,0
disfarcada,-1
disfarcadas,-1
disfarcado,-1
disfarcados,-1
disfonia,-1
disforme,-1
disformes,-1
disformidade,-1
dislexia,-1
dislexica,-1
dislexicas,-1
dislexico,-1
dislexicos,-1
disparata,-1
disparatada,-1
disparatadas,-1
disparatado,-1
disparatados,-1
disparatai,-1
disparatais,-1
disparatam,-1
disparatamo,-1
disparatamos,-1
disparatando,-1
disparatar,-1
disparatara,-1
disparataram,-1
disparataramo,-1
disparataramos,-1
disparatarao,-1
disparataras,-1
disparatardes,-1
disparatarei,-1
disparatareis,-1
disparatarem,-1
disparataremos,-1
disparatares,-1
disparataria,-1
disparatariam,-1
disparatariamos,-1
disparatarias,-1
disparatarieis,-1
disparatarmo,-1
disparatarmos,-1
disparatas,-1
disparatasse,-1
disparatasseis,-1
disparatassem,-1
disparatassemos,-1
disparatasses,-1
disparataste,-1
disparatastes,-1
disparatava,-1
disparatavam,-1
disparatavamo,-1
disparatavamos,-1
disparatavas,-1
disparataveis,-1
disparate,-1
disparatei,-1
disparateis,-1
disparatem,-1
disparatemo,-1
disparatemos,-1
disparates,-1
disparato,-1
disparatou,-1
dispensada,0
dispensadas,0
dispensado,0
dispensados,0
dispensaveis,-1
dispensavel,-1
dispersa,-1
dispersas,-1
dispersiva,-1
dispersivas,-1
dispersivo,-1
dispersivos,-1
disperso,-1
dispersos,-1
displicencia,-1
displicente,-1
displicentes,-1
disponiveis,0
disponivel,0
disposto,1
disse a verdade,1
disse algumas verdades a,1
disse cobras e lagartos de,-1
disse mal de,0
disse umas quantas verdades a,1
dissemos a verdade,1
dissemos algumas verdades a,1
dissemos cobras e lagartos de,-1
dissemos mal de,0
dissemos umas quantas verdades a,1
disser a verdade,1
disser algumas verdades a,1
disser cobras e lagartos de,-1
disser mal de,0
disser umas quantas verdades a,1
dissera a verdade,1
dissera algumas verdades a,1
dissera cobras e lagartos de,-1
dissera mal de,0
dissera umas quantas verdades a,1
disseram a verdade,1
disseram algumas verdades a,1
disseram cobras e lagartos de,-1
disseram mal de,0
disseram umas quantas verdades a,1
disseramos a verdade,1
disseramos algumas verdades a,1
disseramos cobras e lagartos de,-1
disseramos mal de,0
disseramos umas quantas verdades a,1
disseras a verdade,1
disseras algumas verdades a,1
disseras cobras e lagartos de,-1
disseras mal de,0
disseras umas quantas verdades a,1
disserdes a verdade,1
disserdes algumas verdades a,1
disserdes cobras e lagartos de,-1
disserdes mal de,0
disserdes umas quantas verdades a,1
dissereis a verdade,1
dissereis algumas verdades a,1
dissereis cobras e lagartos de,-1
dissereis mal de,0
dissereis umas quantas verdades a,1
disserem a verdade,1
disserem algumas verdades a,1
disserem cobras e lagartos de,-1
disserem mal de,0
disserem umas quantas verdades a,1
disseres a verdade,1
disseres algumas verdades a,1
disseres cobras e lagartos de,-1
disseres mal de,0
disseres umas quantas verdades a,1
dissermos a verdade,1
dissermos algumas verdades a,1
dissermos cobras e lagartos de,-1
dissermos mal de,0
dissermos umas quantas verdades a,1
dissesse a verdade,1
dissesse algumas verdades a,1
dissesse cobras e lagartos de,-1
dissesse mal de,0
dissesse umas quantas verdades a,1
dissesseis a verdade,1
dissesseis algumas verdades a,1
dissesseis cobras e lagartos de,-1
dissesseis mal de,0
dissesseis umas quantas verdades a,1
dissessem a verdade,1
dissessem algumas verdades a,1
dissessem cobras e lagartos de,-1
dissessem mal de,0
dissessem umas quantas verdades a,1
dissessemos a verdade,1
dissessemos algumas verdades a,1
dissessemos cobras e lagartos de,-1
dissessemos mal de,0
dissessemos umas quantas verdades a,1
dissesses a verdade,1
dissesses algumas verdades a,1
dissesses cobras e lagartos de,-1
dissesses mal de,0
dissesses umas quantas verdades a,1
disseste a verdade,1
disseste algumas verdades a,1
disseste cobras e lagartos de,-1
disseste mal de,0
disseste umas quantas verdades a,1
dissestes a verdade,1
dissestes algumas verdades a,1
dissestes cobras e lagartos de,-1
dissestes mal de,0
dissestes umas quantas verdades a,1
dissidente,-1
dissidentes,-1
dissimula,-1
dissimulacao,-1
dissimulada,-1
dissimuladas,-1
dissimulado,-1
dissimulados,-1
dissimulai,-1
dissimulais,-1
dissimulam,-1
dissimulamo,-1
dissimulamos,-1
dissimulando,-1
dissimular,-1
dissimulara,-1
dissimularam,-1
dissimularamo,-1
dissimularamos,-1
dissimularao,-1
dissimularas,-1
dissimularde,-1
dissimulardes,-1
dissimulare,-1
dissimularei,-1
dissimulareis,-1
dissimularem,-1
dissimularemos,-1
dissimulares,-1
dissimularia,-1
dissimulariam,-1
dissimulariamos,-1
dissimularias,-1
dissimularieis,-1
dissimularmo,-1
dissimularmos,-1
dissimulas,-1
dissimulasse,-1
dissimulasseis,-1
dissimulassem,-1
dissimulassemos,-1
dissimulasses,-1
dissimulaste,-1
dissimulastes,-1
dissimulava,-1
dissimulavam,-1
dissimulavamo,-1
dissimulavamos,-1
dissimulavas,-1
dissimulavei,-1
dissimulaveis,-1
dissimule,-1
dissimulei,-1
dissimuleis,-1
dissimulem,-1
dissimulemo,-1
dissimulemos,-1
dissimules,-1
dissimulo,-1
dissimulou,-1
dissipada,-1
dissipadas,-1
dissipado,-1
dissipador,-1
dissipadora,-1
dissipadoras,-1
dissipadores,-1
dissipados,-1
dissoluta,-1
dissolutas,-1
dissoluto,-1
dissolutos,-1
dissolvida,-1
dissolvidas,-1
dissolvido,-1
dissolvidos,-1
distante,-1
distantes,-1
distinguida,0
distinguidas,0
distinguido,0
distinguidos,0
distinta,1
distintas,1
distintiva,0
distintivas,0
distintivo,0
distintivos,0
distinto,1
distintos,1
distorca,-1
distorcais,-1
distorcam,-1
distorcamo,-1
distorcamos,-1
distorcas,-1
distorce,-1
distorcei,-1
distorceis,-1
distorcem,-1
distorcemo,-1
distorcemos,-1
distorcendo,-1
distorcer,-1
distorcera,-1
distorceram,-1
distorceramo,-1
distorceramos,-1
distorcerao,-1
distorceras,-1
distorcerde,-1
distorcerdes,-1
distorcere,-1
distorcerei,-1
distorcereis,-1
distorcerem,-1
distorceremos,-1
distorceres,-1
distorceria,-1
distorceriam,-1
distorceriamos,-1
distorcerias,-1
distorcerieis,-1
distorcermo,-1
distorcermos,-1
distorces,-1
distorcesse,-1
distorcesseis,-1
distorcessem,-1
distorcessemos,-1
distorcesses,-1
distorceste,-1
distorcestes,-1
distorceu,-1
distorci,-1
distorcia,-1
distorciam,-1
distorciamo,-1
distorciamos,-1
distorcias,-1
distorcida,-1
distorcidas,-1
distorcido,-1
distorcidos,-1
distorciei,-1
distorcieis,-1
distorco,-1
distraida,-1
distraidas,-1
distraido,-1
distraidos,-1
ditador,-1
ditadora,-1
ditadoras,-1
ditadores,-1
dito a verdade,1
dito algumas verdades a,1
dito cobras e lagartos de,-1
dito mal de,0
dito umas quantas verdades a,1
ditosa,1
ditosas,1
ditoso,1
ditosos,1
diva,0
divaga,-1
divagacao,-1
divagado,-1
divagador,-1
divagadora,-1
divagadoras,-1
divagadores,-1
divagai,-1
divagais,-1
divagam,-1
divagamo,-1
divagamos,-1
divagando,-1
divagante,-1
divagantes,-1
divagar,-1
divagara,-1
divagaram,-1
divagaramo,-1
divagaramos,-1
divagarao,-1
divagaras,-1
divagardes,-1
divagarei,-1
divagareis,-1
divagarem,-1
divagaremos,-1
divagares,-1
divagaria,-1
divagariam,-1
divagariamos,-1
divagarias,-1
divagarieis,-1
divagarmo,-1
divagarmos,-1
divagas,-1
divagasse,-1
divagasseis,-1
divagassem,-1
divagassemos,-1
divagasses,-1
divagaste,-1
divagastes,-1
divagava,-1
divagavam,-1
divagavamo,-1
divagavamos,-1
divagavas,-1
divagaveis,-1
divago,-1
divagou,-1
divague,-1
divaguei,-1
divagueis,-1
divaguem,-1
divaguemo,-1
divaguemos,-1
divagues,-1
divar,1
divas,0
divertida,1
divertidas,1
divertido,1
divertidos,1
divertimento,1
divina,1
divinais,1
divinal,1
divinas,1
divino,1
divinos,1
divo,0
divos,0
divou,1
divulgador,0
divulgadora,0
divulgadoras,0
divulgadores,0
diz a verdade,1
diz algumas verdades a,1
diz cobras e lagartos de,-1
diz mal de,0
diz umas quantas verdades a,1
dize a verdade,1
dize algumas verdades a,1
dize cobras e lagartos de,-1
dize mal de,0
dize umas quantas verdades a,1
dizei a verdade,1
dizei algumas verdades a,1
dizei cobras e lagartos de,-1
dizei mal de,0
dizei umas quantas verdades a,1
dizeis a verdade,1
dizeis algumas verdades a,1
dizeis cobras e lagartos de,-1
dizeis mal de,0
dizeis umas quantas verdades a,1
dizem a verdade,1
dizem algumas verdades a,1
dizem cobras e lagartos de,-1
dizem mal de,0
dizem umas quantas verdades a,1
dizemos a verdade,1
dizemos algumas verdades a,1
dizemos cobras e lagartos de,-1
dizemos mal de,0
dizemos umas quantas verdades a,1
dizendo a verdade,1
dizendo algumas verdades a,1
dizendo cobras e lagartos de,-1
dizendo mal de,0
dizendo umas quantas verdades a,1
dizer a verdade,1
dizer algumas verdades a,1
dizer cobras e lagartos de,-1
dizer mal de,0
dizer umas quantas verdades a,1
dizerdes a verdade,1
dizerdes algumas verdades a,1
dizerdes cobras e lagartos de,-1
dizerdes mal de,0
dizerdes umas quantas verdades a,1
dizerem a verdade,1
dizerem algumas verdades a,1
dizerem cobras e lagartos de,-1
dizerem mal de,0
dizerem umas quantas verdades a,1
dizeres a verdade,1
dizeres algumas verdades a,1
dizeres cobras e lagartos de,-1
dizeres mal de,0
dizeres umas quantas verdades a,1
dizermos a verdade,1
dizermos algumas verdades a,1
dizermos cobras e lagartos de,-1
dizermos mal de,0
dizermos umas quantas verdades a,1
dizes a verdade,1
dizes algumas verdades a,1
dizes cobras e lagartos de,-1
dizes mal de,0
dizes umas quantas verdades a,1
dizia a verdade,1
dizia algumas verdades a,1
dizia cobras e lagartos de,-1
dizia mal de,0
dizia umas quantas verdades a,1
diziam a verdade,1
diziam algumas verdades a,1
diziam cobras e lagartos de,-1
diziam mal de,0
diziam umas quantas verdades a,1
diziamos a verdade,1
diziamos algumas verdades a,1
diziamos cobras e lagartos de,-1
diziamos mal de,0
diziamos umas quantas verdades a,1
dizias a verdade,1
dizias algumas verdades a,1
dizias cobras e lagartos de,-1
dizias mal de,0
dizias umas quantas verdades a,1
dizieis a verdade,1
dizieis algumas verdades a,1
dizieis cobras e lagartos de,-1
dizieis mal de,0
dizieis umas quantas verdades a,1
dizima,1
dizimada,-1
dizimadas,-1
dizimado,-1
dizimados,-1
dizimai,1
dizimais,1
dizimam,1
dizimamo,1
dizimamos,1
dizimando,1
dizimar,1
dizimara,1
dizimaram,1
dizimaramo,1
dizimaramos,1
dizimarao,1
dizimaras,1
dizimarde,1
dizimardes,1
dizimare,1
dizimarei,1
dizimareis,1
dizimarem,1
dizimaremos,1
dizimares,1
dizimaria,1
dizimariam,1
dizimariamos,1
dizimarias,1
dizimarieis,1
dizimarmo,1
dizimarmos,1
dizimas,1
dizimasse,1
dizimasseis,1
dizimassem,1
dizimassemos,1
dizimasses,1
dizimaste,1
dizimastes,1
dizimava,1
dizimavam,1
dizimavamo,1
dizimavamos,1
dizimavas,1
dizimavei,1
dizimaveis,1
dizime,1
dizimei,1
dizimeis,1
dizimem,1
dizimemo,1
dizimemos,1
dizimes,1
dizimo,1
dizimou,1
dobradica,0
dobradicas,0
dobradico,0
dobradicos,0
doce,1
doceis,1
doces,1
docil,1
docilidade,1
docura,1
doente,-1
doentes,-1
doentia,-1
doentias,-1
doentio,-1
doentios,-1
dogmatica,-1
dogmaticas,-1
dogmatico,-1
dogmaticos,-1
dogmatista,-1
dogmatistas,-1
doida,-1
doida de todo,-1
doida varrida,-1
doidas,-1
doidas de todo,-1
doidas varridas,-1
doidivanas,-1
doido,-1
doido de todo,-1
doido varrido,-1
doidos,-1
doidos de todo,-1
doidos varridos,-1
dolente,-1
dolentes,-1
dolorida,-1
doloridas,-1
dolorido,-1
doloridos,-1
dolosa,-1
dolosas,-1
doloso,-1
dolosos,-1
domada,0
domadas,0
domado,0
domados,0
domina,1
dominada,-1
dominadas,-1
dominado,-1
dominador,1
dominadora,1
dominadoras,1
dominadores,1
dominados,-1
dominai,1
dominais,1
dominam,1
dominamo,1
dominamos,1
dominando,1
dominante,1
dominantes,1
dominar,1
dominara,1
dominaram,1
dominaramo,1
dominaramos,1
dominarao,1
dominaras,1
dominarde,1
dominardes,1
dominare,1
dominarei,1
dominareis,1
dominarem,1
dominaremos,1
dominares,1
dominaria,1
dominariam,1
dominariamos,1
dominarias,1
dominarieis,1
dominarmo,1
dominarmos,1
dominas,1
dominasse,1
dominasseis,1
dominassem,1
dominassemos,1
dominasses,1
dominaste,1
dominastes,1
dominava,1
dominavam,1
dominavamo,1
dominavamos,1
dominavas,1
dominavei,1
dominaveis,1
domine,1
dominei,1
domineis,1
dominem,1
dominemo,1
dominemos,1
domines,1
domino,1
dominou,1
donairosa,1
donairosas,1
donairoso,1
donairosos,1
donzeis,0
donzel,0
donzela,0
donzelas,0
dopada,-1
dopadas,-1
dopado,-1
dopados,-1
dopagem,-1
dorida,-1
doridas,-1
dorido,-1
doridos,-1
dormencia,-1
dormente,-1
dormentes,-1
dorminhoca,-1
dorminhocas,-1
dorminhoco,-1
dorminhocos,-1
dormita,-1
dormitado,-1
dormitai,-1
dormitais,-1
dormitam,-1
dormitamo,-1
dormitamos,-1
dormitando,-1
dormitar,-1
dormitara,-1
dormitaram,-1
dormitaramo,-1
dormitaramos,-1
dormitarao,-1
dormitaras,-1
dormitardes,-1
dormitarei,-1
dormitareis,-1
dormitarem,-1
dormitaremos,-1
dormitares,-1
dormitaria,-1
dormitariam,-1
dormitariamos,-1
dormitarias,-1
dormitarieis,-1
dormitarmo,-1
dormitarmos,-1
dormitas,-1
dormitasse,-1
dormitasseis,-1
dormitassem,-1
dormitassemos,-1
dormitasses,-1
dormitaste,-1
dormitastes,-1
dormitava,-1
dormitavam,-1
dormitavamo,-1
dormitavamos,-1
dormitavas,-1
dormitaveis,-1
dormite,-1
dormitei,-1
dormiteis,-1
dormitem,-1
dormitemo,-1
dormitemos,-1
dormites,-1
dormito,-1
dormitou,-1
dotada,1
dotadas,1
dotado,1
dotados,1
dou a lingua,-1
dou a sola,-1
dou a soleta,-1
dou a volta ao miolo,-1
dou alegrias a,1
dou ao pe,-1
dou bandeira,-1
dou barraca,-1
dou cabo da vida a,-1
dou cabo de,1
dou com a boca no trombone,-1
dou com a lingua nos dentes,-1
dou com os burros na agua,-1
dou com os pes a,-1
dou conta do recado,1
dou de frosques,-1
dou graxa a,-1
dou no duro,1
dou o corpo ao manifesto,-1
dou o dito por nao dito,-1
dou o golpe a,-1
dou o golpe do bau,-1
dou o litro,1
dou o primeiro passo,1
dou palmadinhas nas costas a,-1
dou pontapes na gramatica,-1
dou tiros nos pes,-1
dou um baile a,1
dou um banho a,1
dou um banho de cultura a,1
dou um pontape no cu a,-1
dou um show de bola,1
dou um tiro no pe,-1
dou uma banhada a,1
dou uma coca a,1
dou uma licao a,1
dou uma licao de moral a,1
dou uma malha a,1
dou uma maozinha a,1
dou uma no cravo e outra na ferradura,-1
dou uma surra a,1
dou voltas no caixao,-1
douda,-1
doudas,-1
doudo,-1
doudos,-1
douta,1
doutas,1
douto,1
doutos,1
doutrinada,1
doutrinadas,1
doutrinado,1
doutrinador,0
doutrinadora,0
doutrinadoras,0
doutrinadores,0
doutrinados,1
draconiana,-1
draconianas,-1
draconiano,-1
draconianos,-1
dramatica,-1
dramaticas,-1
dramatico,-1
dramaticos,-1
dramatismo,-1
dramatiza,-1
dramatizado,-1
dramatizai,-1
dramatizais,-1
dramatizam,-1
dramatizamo,-1
dramatizamos,-1
dramatizando,-1
dramatizar,-1
dramatizara,-1
dramatizaram,-1
dramatizaramo,-1
dramatizaramos,-1
dramatizarao,-1
dramatizaras,-1
dramatizarde,-1
dramatizardes,-1
dramatizare,-1
dramatizarei,-1
dramatizareis,-1
dramatizarem,-1
dramatizaremos,-1
dramatizares,-1
dramatizaria,-1
dramatizariam,-1
dramatizariamos,-1
dramatizarias,-1
dramatizarieis,-1
dramatizarmo,-1
dramatizarmos,-1
dramatizas,-1
dramatizasse,-1
dramatizasseis,-1
dramatizassem,-1
dramatizassemos,-1
dramatizasses,-1
dramatizaste,-1
dramatizastes,-1
dramatizava,-1
dramatizavam,-1
dramatizavamo,-1
dramatizavamos,-1
dramatizavas,-1
dramatizavei,-1
dramatizaveis,-1
dramatize,-1
dramatizei,-1
dramatizeis,-1
dramatizem,-1
dramatizemo,-1
dramatizemos,-1
dramatizes,-1
dramatizo,-1
dramatizou,-1
drastica,-1
drasticas,-1
drastico,-1
drasticos,-1
droga,-1
drogada,-1
drogadas,-1
drogado,-1
drogados,-1
drogas,-1
dromomania,-1
